店舗ID,店名,カテゴリ,大分類,地域,住所,場所,lat,lng,訪問済,美味しさ,量,安さ,感想,備考,更新者
LU001,"XI'AN","中華","中華","五番町","東京都千代田区五番町10-2","五番町センタービル　1F",35.689352,139.73502,"訪問済","4","4","5","迷ったらココ","社割300円あり","katyoid"
LU002,"鳥元","焼き鳥・そば","肉","五番町","東京都千代田区五番町4-5","",35.690164,139.735102,"訪問済","4","3","2","そばは普通だが、鳥はおいしい","","katyoid"
LU003,"河岸番外地","魚定食","魚・海鮮","五番町","東京都千代田区五番町2-23","",35.69081,139.735633,"訪問済","3","3","3","","","katyoid"
LU004,"串八珍","鶏カツ","肉","五番町","東京都千代田区五番町3-1","",35.690456,139.735913,"訪問済","4","4","4","ちょいがっつり食べたければ","","katyoid"
LU005,"巴","うどん","麺類","五番町","東京都千代田区五番町5-1","JS市ヶ谷ビル B1",35.689666,139.735633,"訪問済","4","3","3","やわらかめの麺","","katyoid"
LU006,"葡萄の木","洋食、喫茶","洋食・カフェ","五番町","東京都千代田区五番町5-1","第8田中ビル B1",35.690145,139.735696,"訪問済","4","2","2","おしゃれカフェ","","katyoid"
LU007,"オホーツクの恵み","北海道料理","和食・定食","五番町","東京都千代田区五番町5-1","",35.690157,139.735793,"訪問済","3","3","2","","","katyoid"
LU008,"オールド　タイランド","タイ料理","エスニック・カレー","六番町","東京都千代田区六番町4-3","GEMS 3F",35.6891901,139.735316,"訪問済","3","3","2","スープは好きな人と嫌いな人いる","","katyoid"
LU009,"さかじ","やきとり、おでん","肉","六番町","東京都千代田区六番町4-3","GEMS 4F",35.689169,139.735261,"訪問済","4","3","2","夜も行きたい","","katyoid"
LU010,"五色","福島料理","和食・定食","六番町","東京都千代田区六番町4-3","GEMS 5F",35.689169,139.735261,"訪問済","4","3","2","","","katyoid"
LU011,"金市朗","海鮮","魚・海鮮","六番町","東京都千代田区六番町4-3","GEMS 6F",35.68914,139.735262,"未訪問","","","","","",""
LU012,"おかか","しゃぶしゃぶ","肉","六番町","東京都千代田区六番町4-3","GEMS 7F",35.689159,139.735252,"訪問済","4","4","3","鯛めしお代わりできる","","katyoid"
LU013,"大海の食卓","海鮮","魚・海鮮","六番町","東京都千代田区六番町4-2","平野ビル B1",35.689105,139.735315,"訪問済","4","3","2","鯖が食べたければココ","","katyoid"
LU014,"とんかつ 河むら","とんかつ","肉","六番町","東京都千代田区六番町4-11","朝日六番町マンション 1F",35.688952,139.735413,"訪問済","5","3","2","塩がおすすめ","","katyoid"
LU015,"キッチンペザント","定食","和食・定食","四番町","東京都千代田区四番町4-13","I・S四番町 B1",35.688836,139.735731,"訪問済","","","","","","katyoid"
LU016,"札幌スープカレーJACK","スープカレー","エスニック・カレー","六番町","東京都千代田区六番町1-1","",35.687762,139.735876,"訪問済","4","3","2","お金に余裕があれば","","katyoid"
LU017,"十割そば塩名人","そば","麺類","六番町","東京都千代田区六番町1-23","",35.687682,139.735695,"訪問済","2","3","2","いうほど香りしなかった気がする","","katyoid"
LU018,"ラ・タベルナ","イタリア料理","洋食・カフェ","六番町","東京都千代田区六番町1-1","",35.687823,139.735896,"訪問済","3","5","4","量が結構多い（中盛推奨）","","katyoid"
LU019,"市ヶ谷の羊","ジンギスカン","肉","六番町","東京都千代田区六番町1-1","",35.687755,139.735856,"訪問済","3","3","2","昼はラムのメニューは少ない","","katyoid"
LU020,"季節料理 根本","魚和食","魚・海鮮","六番町","東京都千代田区六番町1-2","",35.687704,139.735745,"訪問済","5","2","3","めっちゃリーズナブルだと思う","","katyoid"
LU021,"ななつぼし","担々麺","麺類","六番町","東京都千代田区六番町3-11","",35.687635,139.735896,"訪問済","3","3","3","ちょっと酸味があるタイプ","","katyoid"
LU022,"らぁ麺もう利 はなれ","鶏白湯ラーメン","麺類","六番町","東京都千代田区六番町3-11","",35.687617,139.735932,"訪問済","4","3","3","","","katyoid"
LU023,"No.4","パン","洋食・カフェ","四番町","東京都千代田区四番町5-9","",35.68822414,139.73610663,"訪問済","3","3","2","すごく並ぶので行けないです","","katyoid"
LU024,"ポニー食堂","タイ料理","エスニック・カレー","二番町","東京都千代田区二番町9-2","",35.685105,139.737096,"未訪問","","","","","",""
LU025,"HUNGRY HEAVEN","ハンバーガー","肉","二番町","東京都千代田区二番町11-20","",35.68611666,139.73873787,"訪問済","4","2","1","おいしいですがとても高いです","","katyoid"
LU026,"魚鷹","和食","和食・定食","六番町","東京都千代田区六番町3-20","",35.687338,139.734822,"訪問済","4","3","3","ここで唐揚げは食べないほうがいい、魚だ","","katyoid"
LU027,"カフェ・アマルフィー","カフェ","洋食・カフェ","六番町","東京都千代田区六番町5-5","",35.686576,139.733716,"未訪問","","","","","",""
LU028,"マヌエル","ポルトガル料理","エスニック・カレー","六番町","東京都千代田区六番町11-7","",35.686206,139.733078,"訪問済","4","3","2","セットのサラダとスープが本格的","","katyoid"
LU029,"糀まちカフェ。","カフェ","洋食・カフェ","麹町","東京都千代田区麹町6-6-1","",35.68555,139.732205,"未訪問","","","","","",""
LU030,"倫道","濃厚系ラーメン","麺類","九段北","東京都千代田区九段北4-2-15","",35.6915188,139.7367906,"訪問済","4","3","2","スープがいろいろ選べる","","katyoid"
LU031,"しんぱち食堂","魚定食","魚・海鮮","九段北","東京都千代田区九段北4-2-15","",35.6914884,139.736787,"訪問済","","","","","","F"
LU032,"市ヶ家","家系ラーメン","麺類","九段北","東京都千代田区九段北4-2-15","",35.69151603,139.73679616,"訪問済","3","3","3","普通の家系ラーメン","","katyoid"
LU033,"ベジ達","野菜タンメン","麺類","九段北","東京都千代田区九段北4-2-11","",35.6916654,139.7372289,"訪問済","3","3","3","","","katyoid"
